Session #,SNI,TLS Version,TLS Level,Cipher Suite,Vulnerable Field,Vulnerability Level,Issuer,Expiry Date,Public Key Algorithm, MigratiTn Required, Total
1,ssl.pstatic.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,GeoTrust TLS ECC CA G1,2026-06-22,ECDSA,F,TLS_H_CS_M
2,www.richvideos.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Encryption Everywhere DV TLS CA - G2,2025-10-16,RSA,T,TLS_H_CS_M
3,amazone.com,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,Amazon RSA 2048 M03,2025-11-11,RSA,F,TLS_M_CS_L
4,www.amazon.fr,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global CA G2,2025-12-17,RSA,F,TLS_H_CS_M
5,tivan.naver.com,1.3,H,AES_256_GCM_SHA384,None,H,Sectigo RSA Organization Validation Secure Server CA,2026-05-11,RSA,F,TLS_H_CS_H
6,siape.veta.naver.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert TLS Hybrid ECC SHA384 2020 CA1,2026-03-17,ECDSA,F,TLS_H_CS_M
7,g.tivan.naver.com,1.3,H,AES_256_GCM_SHA384,None,H,Sectigo RSA Organization Validation Secure Server CA,2026-05-11,RSA,F,TLS_H_CS_H
8,shopsquare.naver.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert TLS Hybrid ECC SHA384 2020 CA1,2026-03-17,ECDSA,F,TLS_H_CS_M
9,m.media-amazon.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global CA G2,2025-09-28,RSA,T,TLS_H_CS_M
10,linkedin.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert SHA2 Secure Server CA,2025-09-16,RSA,T,TLS_H_CS_H
11,static.licdn.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-01-14,RSA,F,TLS_H_CS_M
12,adobe.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert TLS Hybrid ECC SHA384 2020 CA1,2026-03-05,ECDSA,F,TLS_H_CS_H
13,www.adobe.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert TLS Hybrid ECC SHA384 2020 CA1,2026-03-05,ECDSA,F,TLS_H_CS_H
14,accounts.google.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
15,adobeid-na1.services.adobe.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-08-03,RSA,F,TLS_H_CS_M
16,lnkd.demdex.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2025-10-26,RSA,T,TLS_H_CS_M
17,geo2.adobe.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert TLS RSA SHA256 2020 CA1,2026-03-05,RSA,F,TLS_H_CS_H
18,salesforce.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G3 TLS ECC SHA384 2020 CA1,2025-11-13,ECDSA,F,TLS_H_CS_H
19,use.typekit.net,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-01-10,ECDSA,F,TLS_H_CS_H
20,www.salesforce.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert TLS RSA SHA256 2020 CA1,2026-04-14,RSA,F,TLS_H_CS_H
21,p.typekit.net,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-01-10,ECDSA,F,TLS_H_CS_H
22,a.sfdcstatic.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert TLS RSA SHA256 2020 CA1,2026-02-12,RSA,F,TLS_H_CS_H
23,prod.adobeccstatic.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2025-08-25,RSA,T,TLS_H_CS_M
24,dropbox.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert TLS RSA SHA256 2020 CA1,2025-12-08,RSA,F,TLS_H_CS_M
25,www.dropbox.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert TLS RSA SHA256 2020 CA1,2025-12-08,RSA,F,TLS_H_CS_M
26,s.go-mpulse.net,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G3 TLS ECC SHA384 2020 CA1,2026-06-02,ECDSA,F,TLS_H_CS_H
27,play.google.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
28,c.go-mpulse.net,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G3 TLS ECC SHA384 2020 CA1,2026-06-02,ECDSA,F,TLS_H_CS_H
29,geolocation.onetrust.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE1,2025-09-02,ECDSA,T,TLS_H_CS_M
30,commerce.adobe.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-08-09,ECDSA,F,TLS_H_CS_H
31,wp.sfdcdigital.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G3 TLS ECC SHA384 2020 CA1,2025-09-11,ECDSA,T,TLS_H_CS_H
32,s2.go-mpulse.net,1.3,H,AES_256_GCM_SHA384,None,H,R11,2025-09-29,RSA,T,TLS_H_CS_H
33,cdn.cookielaw.org,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE1,2025-09-02,ECDSA,T,TLS_H_CS_M
34,api.demandbase.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Go Daddy Secure Certificate Authority - G2,2025-09-14,RSA,T,TLS_H_CS_M
35,zn3n5vyia1vy8b4ly-adobe.siteintercept.qualtrics.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-01-02,RSA,F,TLS_H_CS_M
36,cdnssl.clicktale.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M03,2026-03-27,RSA,F,TLS_H_CS_M
37,lh4.googleusercontent.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
38,lh6.googleusercontent.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
39,yt3.ggpht.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
40,s.pinimg.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-08-23,RSA,F,TLS_H_CS_M
41,match.adsrvr.org,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,GlobalSign GCC R3 DV TLS CA 2020,2026-04-02,RSA,F,TLS_M_CS_L
42,github.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo ECC Domain Validation Secure Server CA,2026-02-05,ECDSA,F,TLS_H_CS_M
43,fjord.dropboxstatic.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon ECDSA 256 M02,2026-08-05,ECDSA,F,TLS_H_CS_M
44,github.githubassets.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo RSA Domain Validation Secure Server CA,2025-09-24,RSA,T,TLS_H_CS_M
45,fonts.gstatic.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
46,iis-hotfix.digital.salesforce.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G3 TLS ECC SHA384 2020 CA1,2026-05-01,ECDSA,F,TLS_H_CS_H
47,servedby.flashtalking.com,1.3,H,AES_256_GCM_SHA384,None,H,R11,2025-09-09,RSA,T,TLS_H_CS_H
48,www.everestjs.net,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-02-20,ECDSA,F,TLS_H_CS_H
49,d9.flashtalking.com,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,Amazon RSA 2048 M02,2026-08-13,RSA,F,TLS_M_CS_L
50,servedby-us.flashtalking.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert TLS Hybrid ECC SHA384 2020 CA1,2026-02-24,ECDSA,F,TLS_H_CS_H
51,snap.licdn.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert SHA2 Secure Server CA,2025-12-12,RSA,F,TLS_H_CS_H
52,www.naver.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert TLS Hybrid ECC SHA384 2020 CA1,2026-03-17,ECDSA,F,TLS_H_CS_M
53,bat.bing.com,1.3,H,AES_256_GCM_SHA384,None,H,Microsoft Azure RSA TLS Issuing CA 07,2025-12-09,RSA,F,TLS_H_CS_H
54,analytics.tiktok.com,1.3,H,AES_256_GCM_SHA384,None,H,RapidSSL TLS ECC CA G1,2026-06-15,ECDSA,F,TLS_H_CS_H
55,ct.pinterest.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-08-23,RSA,F,TLS_H_CS_M
56,pt.ispot.tv,1.3,H,AES_128_GCM_SHA256,AES_128,M,R10,2025-09-30,RSA,T,TLS_H_CS_M
57,sc-static.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M03,2025-12-20,RSA,F,TLS_H_CS_M
58,www.googletagmanager.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
59,px.ads.linkedin.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert SHA2 Secure Server CA,2025-09-16,RSA,T,TLS_H_CS_H
60,ntm.pstatic.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,GeoTrust TLS ECC CA G1,2026-06-22,ECDSA,F,TLS_H_CS_M
61,tr.snapchat.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-07-16,RSA,F,TLS_H_CS_M
62,nam.veta.naver.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert TLS Hybrid ECC SHA384 2020 CA1,2026-03-17,ECDSA,F,TLS_H_CS_M
63,www.google.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
64,cm.everesttech.net,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,Amazon RSA 2048 M03,2026-04-15,RSA,F,TLS_M_CS_L
65,pixels.spotify.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-01-06,RSA,F,TLS_H_CS_M
66,googleads.g.doubleclick.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
67,pixel.tapad.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WR3,2025-09-09,RSA,T,TLS_H_CS_M
68,tr6.snapchat.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-07-16,RSA,F,TLS_H_CS_M
69,analytics-ipv6.tiktokw.us,1.3,H,AES_256_GCM_SHA384,None,H,RapidSSL TLS ECC CA G1,2026-06-14,ECDSA,F,TLS_H_CS_H
70,9212252.fls.doubleclick.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
71,www.samsung.com,1.3,H,AES_256_GCM_SHA384,None,H,GeoTrust TLS RSA CA G1,2026-02-13,RSA,F,TLS_H_CS_H
72,cc-api-data.adobe.io,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2025-09-05,RSA,T,TLS_H_CS_M
73,www.google.co.kr,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
74,adservice.google.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
75,www.googleadservices.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
76,lge.com,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,Amazon RSA 2048 M03,2025-10-11,RSA,T,TLS_M_CS_L
77,www.lge.com,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,Amazon RSA 2048 M03,2025-10-11,RSA,T,TLS_M_CS_L
78,www.lge.co.kr,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert TLS RSA SHA256 2020 CA1,2026-01-03,ECDSA,F,TLS_H_CS_H
79,cdn.evgnet.com,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,DigiCert TLS RSA SHA256 2020 CA1,2026-01-14,RSA,F,TLS_M_CS_L
80,marketing.dropbox.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon ECDSA 256 M03,2026-07-03,ECDSA,F,TLS_H_CS_M
81,cfl.dropboxstatic.com,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,DigiCert TLS RSA SHA256 2020 CA1,2026-03-08,RSA,F,TLS_M_CS_L
82,hyundai.com,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,Sectigo RSA Organization Validation Secure Server CA,2026-04-12,RSA,F,TLS_M_CS_L
83,collector.github.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo RSA Domain Validation Secure Server CA,2026-05-14,RSA,F,TLS_H_CS_M
84,assets.adobedtm.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-07-25,ECDSA,F,TLS_H_CS_H
85,static.ads-twitter.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,R10,2025-09-18,RSA,T,TLS_H_CS_M
86,www.hyundai.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo RSA Organization Validation Secure Server CA,2025-11-06,RSA,F,TLS_H_CS_M
87,kia.com,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,Go Daddy Secure Certificate Authority - G2,2026-06-29,RSA,F,TLS_M_CS_L
88,www.kia.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo RSA Organization Validation Secure Server CA,2025-11-07,RSA,F,TLS_H_CS_M
89,videos.ctfassets.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M02,2025-12-14,RSA,F,TLS_H_CS_M
90,api.github.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo ECC Domain Validation Secure Server CA,2026-02-05,ECDSA,F,TLS_H_CS_M
91,sk.com,1.3,H,AES_256_GCM_SHA384,None,H,GlobalSign RSA OV SSL CA 2018,2025-12-23,RSA,F,TLS_H_CS_H
92,eng.sk.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,E6,2025-10-25,ECDSA,T,TLS_H_CS_M
93,fonts.googleapis.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
94,fp.dropbox.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert TLS RSA SHA256 2020 CA1,2025-09-16,RSA,T,TLS_H_CS_M
95,cdn.dropboxexperiment.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M02,2026-05-28,RSA,F,TLS_H_CS_M
96,www.google-analytics.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
97,static.hotjar.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M02,2026-05-22,RSA,F,TLS_H_CS_M
98,script.hotjar.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M02,2026-05-22,RSA,F,TLS_H_CS_M
99,c.contentsquare.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,R10,2025-09-01,RSA,T,TLS_H_CS_M
100,netfunnel.hmc.co.kr,1.2,M,Unknown (0x009C),Unknown,L,Sectigo RSA Organization Validation Secure Server CA,2025-11-07,RSA,F,TLS_M_CS_L
101,i.ytimg.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WR2,2025-09-29,RSA,T,TLS_H_CS_M
102,resources.digital-cloud-west.medallia.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,SSL.com RSA SSL subCA,2025-10-01,RSA,T,TLS_H_CS_M
103,www.datadoghq-browser-agent.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-05-30,RSA,F,TLS_H_CS_M
104,stats.g.doubleclick.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,WR2,2025-09-29,ECDSA,T,TLS_H_CS_M
105,analytics.google.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
106,connect.facebook.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert SHA2 High Assurance Server CA,2025-08-06,ECDSA,T,TLS_H_CS_M
107,ap2.event.dfinery.io,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,Amazon RSA 2048 M03,2025-12-21,RSA,F,TLS_M_CS_L
